Title,Ingredients,Procedures,Nutrition,Yield,Age_group,Cooking_time,Prep_time,Price,recipe_id,Source
"
Kulitis Pasta 
","
1⁄4 ;cup ;Cooking oil 
2 ;Tbsp ;Garlic, crushed 
2 ;Tbsp ;Onion, Bombay, chopped 
1 1⁄2 ;cups ;Macaroni, shell 
1⁄4 ;cup ;Pork, kasim, ground 
4 ;cups ;Water 
1 ;cup ;Water 
1⁄2 ;cup ;Evaporated milk 
1⁄2 ;cup ;Cream, all purpose 
1 ;tsp ;Iodized salt 
1⁄2 ;tsp ;Black pepper, ground 
1⁄2 ;cup ;Mushroom, button, canned, drained 
1⁄4 ;cup ;Bell pepper, red, chopped 
2 ;cups ;Kulitis 
1⁄2 ;cup ;Cheese, grated 
","
1. Boil  water.  Add macaroni.  Cook until  tender  but  firm. 
2. Put in a strainer or colander.Pass under running  water and drain. Set aside. Add water.
3. In a pan, Simmer heatoil. until Sauté tender.  garlic, onion, and pork.
4. Add milk and all purpose cream. Bring to a simmer, stirring often to avoid scorching.  
5. Season with salt and pepper. Add mushroom and bell pepper.  
6. Add kulitis and pasta. Toss gently in the  sauce until well coated. Simmer for two minutes. 
7. Sprinkle grated cheese on top.  

","
Energy, kcal ;482 ;Thiamin, mg ;0.19 
Protein, g ;16.9 ;Riboflavin, mg ;0.33 
Calcium, mg ;444 ;Niacin, mg ;4.5 
Iron, mg ;1.4 ;Vitamin C, mg ;4 
Vitamin A, μg RE ;110;;
","
Serving size ;1 cup 
Weight per serving ;190 g 
Number of serving ;4.5 servings 
",,,,'',fnri-2012-1kul,fnri
"
Be Cool Express 
","
1⁄4 ;cup ;Cooking oil 
1⁄2 ;kg ;Pork, liempo , sliced into strips 
2 ;Tbsp ;Garlic, crushed 
2 ;Tbsp ;Onions, chopped 
1⁄4 ;cup ;Alamang 
1 ;cup ;Coconut milk (2nd extraction) 
2 ;cups ;Coconut milk (1st extraction) 
1 ;cup ;Sigarilyas, sliced diagonally 
1 ;cup ;Sitaw, sliced 2 cm 
1⁄4 ;cup ;Chili peppers, seeded, strips 
1 ;tsp ;Iodized salt 
","
1. In a pan, heat oil. Sauté pork until cooked. Remove and set aside. 
2. In another pan, sauté garlic, onion and alamang. 
3. Add pork and coconut milk 2nd extraction. Cover and simmer until pork is tender. 
4. Add the coconut milk 1st extraction. Simmer uncovered for 10 minutes. 
5. Add sitaw and sigarilyas and chili peppers. Cook for 3 minutes. 
6. Season with salt. 
","
Energy, kcal ;561 ;Thiamin, mg ;0.38 
Protein, g ;17.2 ;Riboflavin, mg ;0.12 
Calcium, mg ;98 ;Niacin, mg ;6.1 
Iron, mg ;2.5 ;Vitamin C, mg ;9 
Vitamin A, μg RE ;31 ;;
","
Serving size ;1/2 cup 
Weight per serving ;90g 
Number of serving ;8 1⁄2 servings 
",,,,'',fnri-2012-10be_,fnri
"
Stir-Fried Chicken with Kulitis 
","
8 ;pcs ;Chicken thighs, fillet, skinless, sliced 
1 ;Tbsp ;Iodized salt 
2 ;tsp ;Black pepper, ground 
2 ;Tbsp ;Cooking oil 
1 ;tsp ;Onion, chopped 
1 ;Tbsp ;Garlic, crushed 
1 ;tsp ;Ginger, cut into strips 
1 ;Tbsp ;Green chilies, sliced 
3 ;Tbsp ;Bell pepper, round, red 
1⁄4 ;cup ;Oyster sauce 
1 ;tsp ;Basil leaves, coarsely chopped 
3 ;cups ;Kulitis ","
1. Season chicken with salt and pepper. 
2. In a pan, heat oil. Stir fry chicken until brown, and then set aside. 
3. In the same pan, sauté onion, garlic, ginger, chilies and bell pepper. When cooked, add the chicken. 
4. Add oyster sauce and basil. Cook for 1 minute. 
5. Add kulitis. Cook for another 1 minute. Serve hot. 
","
Energy, kcal ;269 ;Thiamin, mg ;0.06 
Protein, g ;18.2 ;Riboflavin, mg ;0.25 
Calcium, mg ;109 ;Niacin, mg ;8 
Iron, mg ;3.9 ;Vitamin C, mg ;27 
Vitamin A, μg RE ;208 ;;
","
Serving size ;3⁄4 cup 
Weight per serving ;100g 
Number of serving ;4 servings 
",,,,'',fnri-2012-11sti,fnri
"
Alukon sa Maki 
","
3 ;cups ;Japanese rice (short grain) 
3 1⁄2; cups ;Water 
1/3; cup ;Rice vinegar 
2 ;Tbsp ;Sugar, white 
1 ;tsp ;Iodized salt 
9 ;Tbsp ;Mayonnaise 
9 ;pcs ;Nori sheet 
2 ;pcs ;Cucumber, seeded, cut lengthwise 
2 ;cups ;Alukon, boiled 
9 ;pcs ;Crabstick, halved, cut lengthwise 
3⁄4 ;kg ;Mango, ripe, sliced, cut lengthwise 
2 ;Tbsp ;Wasabi 
1⁄2 ;cup ;Soy sauce 
","
1. Wash rice once. Combine rice with water. Let soak for 30 minutes. Cook in rice cooker or in a regular pot. Set aside. 
2. Mix rice vinegar, sugar and salt in a sauce pan. Heat until sugar dissolves in low heat. Let cool. 
3.  Mix with rice. Let  the rice cool.  
4. Meanwhile, put mayonnaise in a plastic squeezer. 
5. Lay the Nori rice mixture sheet over and aspread bamboo the mat. cold Get cooked a handful rice on of the Nori sheet. 
6. Squeeze mayonnaise on top of rice. 
7. Align cucumber, alukon, crabstick and mango.  
8. Gently roll Nori sheet, pulling and pushing till it forms a log. 
9. Slice the rolled up maki with a sharp knife.  
10. Serve with wasabi and soy sauce. 
","
Energy, kcal ;211 ;Thiamin, mg ;0.06 
Protein, g ;4.3 ;Riboflavin, mg ;0.05 
Calcium, mg ;49 ;Niacin, mg ;1.6 
Iron, mg ;1.3 ;Vitamin C, mg ;11 
Vitamin A, μg RE ;48 ;;
","
Serving size ;1⁄2 roll or 6 slices 
Weight per serving ;125g 
Number of serving ;18 servings 
",,,,'',fnri-2012-12alu,fnri
"
Upo Delight 
","
4 ;cups ;Upo, skinned, seeded, grated 
1⁄2 ;cup ;Water 
2  ;Tbsp ;Butter 
1  ;can, tall ;Milk, condensed 
1  ;Tbsp ;Vanilla 
1⁄4  ;cup ;Cashew nut, roasted, chopped 
1⁄4  ;cup ;Peanut, roasted, skinned, chopped 
","
1. In a shallow pan; combine upo and water. Mix well and cook for 5 minutes, with constant stirring. 
2. When upo becomes transparent, add butter, condensed milk and vanilla. Mix well. 
3. Cook for 30 minutes with continuous stirring until mixture is caramelized. 
4. Add cashew and peanut. Blend well. 
5. Pour into a clean dry tray and flatten into one half (1⁄2) cm thick. 
6. Allow to cool until set. Cut into serving - size (approximately 14inches x 10 x 1cm). 
","
Energy, kcal ;171 ;Thiamin, mg ;0.26 
Protein, g ;4.3 ;Riboflavin, mg ;0.23 
Calcium, mg ;116 ;Niacin, mg ;1.4 
Iron, mg ;0.5 ;Vitamin C, mg ;6 
Vitamin A, μg RE ;104;;
","
Number of pcs ;12 slices 
Serving size ;2 Tbsp 
Weight per serving ;50 g/slice 
Number of serving ;12 servings 
",,,,'',fnri-2012-2upo,fnri
"
Ensaladang Katuray 
","
1 ;cup ;Katuray flower 
1⁄4 ;cup ;Tomato, diced 
1⁄4 ;cup ;Onion, Bombay, chopped 
2 ;cups ;Mango, medium ripe, cubed (any variety) 
1⁄4 ;cup ;Bagoong na isda 
1⁄4 ;cup ;Vinegar 
","
1. Wash and drain flowers. Trim stem and remove stamen/pistil from the flowers. 
2. Place the trimmed flowers in a bowl. 
3. Blanch with boiling water for 1 minute then drain. Let the flowers cool. 
4. In a separate bowl, gently toss flowers, tomato, onion and mango. Chill in the refrigerator. 
5. Just before serving, pour the bagoong- vinegar mixture. 
","
Energy, kcal ;130 ;Thiamin, mg ;0.17 
Protein, g ;6.0 ;Riboflavin, mg ;0.15 
Calcium, mg ;181 ;Niacin, mg ;4.4 
Iron, mg ;3 ;Vitamin C, mg ;69 
Vitamin A, μg RE ;177;;
","
Serving size ;1 cup 
Weight per serving ;200 g 
Number of serving ;3 servings 
",,,,'',fnri-2012-3ens,fnri
"
Squash Icy with Kadyos 
","
3 ;Tbsp ;Cassava flour, sifted 
3 ;cups ;Water 
1 ;cup ;Sugar, white 
1⁄2 ;cup ;Squash, steamed and mashed 
1 ;cup ;Milk, evaporated, filled 
1 ;tsp ;Vanilla flavor 
1⁄2 ;cup ;Kadyos, fresh, boiled, skin removed 
18 ;pcs ;Ice candy bag 
","
1. Combine cassava flour and water. Mix well until cassava flour is dissolved completely. 
2. Place mixture in pan. Boil for a minute. 
3. Add sugar and squash then cool. 
4. Add milk and vanilla. Mix well. 
5. Kadyos may be distributed in the ice candy bag. 
6. Pour 1⁄4 cup of the mixture in each bag. Tie securely and freeze. 
7. Serve frozen. 
","
Energy, kcal ;157 ;Thiamin, mg ;0.06 
Protein, g ;2.9 ;Riboflavin, mg ;0.14 
Calcium, mg ;113 ;Niacin, mg ;0.8 
Iron, mg ;0.3 ;Vitamin C, mg ;4 
Vitamin A, μg RE ;64;;
","
Serving size ;2 pcs 
Weight per serving ;125 g 
Number of serving ;9 servings 
",,,,'',fnri-2012-4squ,fnri
"
Alukon - Patani Gisado 
","
1 ;Tbsp ;Cooking oil 
1 ;Tbsp ;Garlic, crushed 
2 ;Tbsp ;Onion, Bombay, sliced 
1⁄2 ;cup ;Tomato, sliced 
1⁄2 ;cup ;Pork, kasim, ground 
2 ;Tbsp ;Patis 
1⁄8 ;tsp ;Black pepper, ground 
2 ;cups ;Water 
1 ;cup ;Patani, shelled 
2 ;cups ;Eggplant, sliced 
3 ;cups ;Alukon 

","
1. In a pan, heat oil. Sauté garlic, onion, tomato and pork. 
2. Season with patis and pepper. 
3. Add water and patani. Cover and simmer for five minutes. 
4. Add eggplant and alukon. Cover and simmer for 2 minutes. 
5. Serve hot. 
","
Energy, kcal ;138  ;Thiamin, mg  ;0.16 
Protein, g ;6.0  ;Riboflavin, mg ; 0.15 
Calcium, mg ;118  ;Niacin, mg  ;2.5 
Iron, mg ;3.5  ;Vitamin C, mg ; 23 
Vitamin A, μg RE ;42;;
","
Serving size ;1 cup 
Weight per serving ;175 g 
Number of serving ;6servings 

",,,,'',fnri-2012-5alu,fnri
"
Talinum- Cucumber- Fruity Salad 
","
3 ;cups ;Talinum leaves, boiled, drained 
1 ;cup ;Pineapple, tidbits, canned, drained 
1 ;cup ;Cucumber, peeled, seeded, sliced 
2 ;cups ;Mango, ripe, sliced 

!Dressing:
1⁄4 ;cup ;Sugar cane vinegar 
1⁄2 ;tsp ;Black pepper, ground 
1⁄4 ;tsp ;Iodized salt 
3 ;Tbsp ;Sugar, brown ","
1. In a bowl, combine talinum, pineapple, cucumber & mango. Toss carefully. Cover and chill. 
2. In another bowl, blend well the vinegar, pepper, salt and sugar. Mix until sugar is dissolved. 
3. Pour dressing on prepared salad, toss lightly before serving. 
4. Serve cold. 
","
Energy, kcal ;130 ;Thiamin, mg ;0.13 
Protein, g ;1.2 ;Riboflavin, mg ;0.11 
Calcium, mg ;56 ;Niacin, mg ;1.1 
Iron, mg ;2.3 ;Vitamin C, mg ;56 
Vitamin A, μg RE ;279 ;;
","
Serving size ;3⁄4 cup 
Weight per serving ;155 g 
Number of serving ;5 servings 
",,,,'',fnri-2012-6tal,fnri
"
Lumpiang Labong 
","
1 ;cup  ;Pork, kasim, ground 
1⁄2 ;cup  ;Shrimp, suahe, shelled, chopped 
1 ;cup  ;Labong, blanched, chopped 
1⁄2 ;cup  ;Singkamas, chopped 
1⁄2 ;cup  ;Squash, finely chopped 
2 ;Tbsp ; Onion, Bombay, sliced 
1⁄4 ;cup  ;Spring onion, sliced thinly 
1 ;pc  ;Chicken egg 
1 ;Tbsp ; Soy sauce 
2 ;tsp  ;Iodized salt 
1⁄2 ;tsp  ;Black pepper, ground 
20 ;pcs  ;Lumpia wrapper 
2 ;cups  ;Cooking oil 

!Vinegar dipping sauce: 
1⁄2 ;cup ; Vinegar 
1 ;tsp ; Garlic, crushed 
1⁄2 ;tsp ; Black pepper, ground 
1 ;tsp ; Iodized salt ","
1. In a mixing bowl, combine the first 11 ingredients. Mix well. 
2. Place a tablespoon of the mixture on each lumpia wrapper and roll. Moisten edge with water and wrap securely. Do the same with the rest of the mixture. 
3. Deep-fry in hot cooking oil until golden brown. Drain excess oil. 
4. Serve with vinegar dipping sauce or catsup. 
","
Energy, kcal ;232 ;Thiamin, mg ;0.12 
Protein, g ;7.7 ;Riboflavin, mg ;0.10 
Calcium, mg ;37 ;Niacin, mg ;2.8 
Iron, mg ;0.8 ;Vitamin C, mg ;4 
Vitamin A, μg RE ;71 ;;
","
Serving size ;2 pcs 
Weight per serving ;70 g 
Number of serving ;10 servings 
",,,,'',fnri-2012-7lum,fnri
