key,df,idf
aardbeien,4,6.555356891810665
jdk,4,6.555356891810665
increase,4,6.555356891810665
ingwerknolle,4,6.555356891810665
ingwerpulver,4,6.555356891810665
ish,4,6.555356891810665
italians,4,6.555356891810665
iuzzini,4,6.555356891810665
jalapeńo,4,6.555356891810665
japapeno,4,6.555356891810665
jello,4,6.555356891810665
icing,4,6.555356891810665
joghurt,4,6.555356891810665
jovial,4,6.555356891810665
jug,4,6.555356891810665
julienned,4,6.555356891810665
jícama,4,6.555356891810665
kadota,4,6.555356891810665
kafr,4,6.555356891810665
kahla,4,6.555356891810665
ince,4,6.555356891810665
ibarra,4,6.555356891810665
mold,4,6.555356891810665
heidelbeeren,4,6.555356891810665
golden,4,6.555356891810665
grahm,4,6.555356891810665
grap,4,6.555356891810665
greenspre,4,6.555356891810665
greys,4,6.555356891810665
grner,4,6.555356891810665
halfcaviar,4,6.555356891810665
halloween,4,6.555356891810665
hhnchenbrste,4,6.555356891810665
hunk,4,6.555356891810665
highly,4,6.555356891810665
hold,4,6.555356891810665
hole,4,6.555356891810665
holiday,4,6.555356891810665
hollyhock,4,6.555356891810665
honig,4,6.555356891810665
horseradish,4,6.555356891810665
huajillo,4,6.555356891810665
kakao,4,6.555356891810665
kalte,4,6.555356891810665
kamaboko,4,6.555356891810665
maytag,4,6.555356891810665
macoun,4,6.555356891810665
malfaldine,4,6.555356891810665
marble,4,6.555356891810665
marc,4,6.555356891810665
marionberrie,4,6.555356891810665
mark,4,6.555356891810665
martha,4,6.555356891810665
mary,4,6.555356891810665
mccormicks,4,6.555356891810665
kaninchenkeulen,4,6.555356891810665
meatballbeefparsleyeggoreganoporkbread,4,6.555356891810665
med,4,6.555356891810665
mett,4,6.555356891810665
meyers,4,6.555356891810665
mineral,4,6.555356891810665
mineralwasser,4,6.555356891810665
minimaïskolfje,4,6.555356891810665
minimum,4,6.555356891810665
luster,4,6.555356891810665
lollo,4,6.555356891810665
liquor,4,6.555356891810665
limettensaft,4,6.555356891810665
kaninchenrücken,4,6.555356891810665
kapern,4,6.555356891810665
kasseler,4,6.555356891810665
kix,4,6.555356891810665
klflaschen,4,6.555356891810665
kokoschip,4,6.555356891810665
kokosraspel,4,6.555356891810665
kopfsalat,4,6.555356891810665
label,4,6.555356891810665
lardo,4,6.555356891810665
lbfresh,4,6.555356891810665
lech,4,6.555356891810665
lentils,4,6.555356891810665
lettucesgreen,4,6.555356891810665
licorice,4,6.555356891810665
lillet,4,6.555356891810665
limetten,4,6.555356891810665
girl,4,6.555356891810665
gingernut,4,6.555356891810665
gf,4,6.555356891810665
cornflourcornstarch,4,6.555356891810665
